name,team,position,club,league,games,goals,assists,points,pim,plus_minus,latvia_games,olympic_qualifier_games,age
Oskars Cibulskis,Latvia,D,Herning Blue Fox,DENMARK1,44,6,22,28,8,44,5,3,38
Ralfs Freibergs,Latvia,D,HC Vitkovice,CZECH1,32,0,4,4,22,3,10,2,34
Roberts Mamcics,Latvia,D,HC Energie Karlovy Vary,CZECH1,46,0,8,8,43,-5,7,4,31
Kristaps Zile,Latvia,D,Bili Tygri Liberec,CZECH1,52,6,6,12,41,8,8,4,28
Arvils Bergmanis,Latvia,D,Rapid City Rush,ECHL,19,1,3,4,7,2,6,0,26
Miks Tumanovs,Latvia,D,Jokerit,MESTIS,34,5,6,11,10,12,9,0,24
Arturs Andzans,Latvia,D,HPK,SM-LIIGA,45,3,4,7,16,-10,13,0,24
Alberts Smits,Latvia,D,Jukurit,SM-LIIGA,38,6,7,13,20,-3,6,4,18


