name,team,position,club,league,games,goals,assists,points,pim,plus_minus,latvia_games,olympic_qualifier_games,age
Toms Andersons,Latvia,RW/LW,"HC La Chaux-de-Fonds ""C""",NLB,45,12,39,51,45,10,8,0,32
Oskars Batna,Latvia,C/LW,Pelicans,SM-LIIGA,33,9,14,23,35,5,8,4,31
Haralds Egle,Latvia,C/RW,HC Energie Karlovy Vary,CZECH1,45,9,15,24,16,-5,3,2,30
Rudolfs Balcers,Latvia,LW/RW,ZSC Lions,NLA,34,14,12,26,18,10,4,3,29
Filips Buncis,Latvia,C,Rungsted Seier Capital,DENMARK1,32,13,8,21,6,-6,9,0,28
Martins Dzierkals,Latvia,LW/RW,HC Sparta Praha,CZECH1,50,7,8,15,30,1,8,4,29
Renars Krastenbergs,Latvia,C/LW,HC Olomouc,CZECH1,50,10,13,23,16,-15,13,4,27
Deniss Smirnovs,Latvia,C,EHC Kloten,NLA,42,2,6,8,4,-2,15,0,27
Glebs Prohorenkovs,Latvia,C,Niagara Univ.,Unknown,36,1,16,17,20,-7,6,0,24
Kristaps Skrastins,Latvia,C,Univ. of New Hampshire,Unknown,34,3,6,9,12,-5,7,0,24
Patriks Zabusovs,Latvia,RW/LW,Zemgale,LATVIA1,23,19,23,42,14,0,9,0,24
Oskars Lapinskis,Latvia,F,SCL Tigers,NLA,51,4,4,8,10,-9,13,0,24
Sandis Vilmanis,Latvia,LW/RW,Charlotte Checkers,AHL,48,17,21,38,26,17,2,4,22
Olivers Murnieks,Latvia,C,Saint John Sea Dogs,Unknown,31,7,13,20,14,-23,14,0,17
