name,team,position,club,league,games,goals,assists,points,pim,plus_minus,latvia_games,olympic_qualifier_games,age,offense_rating,defense_rating,rating,roster_probability
Toms Andersons,Latvia,RW/LW,"HC La Chaux-de-Fonds ""C""",NLB,45,12,39,51,45,10,8,0,32,75.02,64.14333333333335,69.58166666666668,0.9049864106009113
Oskars Batna,Latvia,C/LW,Pelicans,SM-LIIGA,33,9,14,23,35,5,8,4,31,68.96060606060605,63.987878787878785,66.47424242424242,0.9126520030653039
Haralds Egle,Latvia,C/RW,HC Energie Karlovy Vary,CZECH1,45,9,15,24,16,-5,3,2,30,65.528,62.92888888888889,64.22844444444445,0.8531729184642609
Rudolfs Balcers,Latvia,LW/RW,ZSC Lions,NLA,34,14,12,26,18,10,4,3,29,70.51529411764706,64.99941176470588,67.75735294117646,0.8885922105782745
Filips Buncis,Latvia,C,Rungsted Seier Capital,DENMARK1,32,13,8,21,6,-6,9,0,28,65.761875,60.769375000000004,63.265625,0.8621112949295276
Martins Dzierkals,Latvia,LW/RW,HC Sparta Praha,CZECH1,50,7,8,15,30,1,8,4,29,61.0144,63.629999999999995,62.322199999999995,0.9033777720154321
Renars Krastenbergs,Latvia,C/LW,HC Olomouc,CZECH1,50,10,13,23,16,-15,13,4,27,64.1728,61.808,62.990399999999994,0.9209571937370653
Deniss Smirnovs,Latvia,C,EHC Kloten,NLA,42,2,6,8,4,-2,15,0,27,58.68,63.40095238095238,61.04047619047619,0.8847731582561859
Glebs Prohorenkovs,Latvia,C,Niagara Univ.,Unknown,36,1,16,17,20,-7,6,0,24,60.25,59.43888888888889,59.84444444444445,0.7958680271530463
Kristaps Skrastins,Latvia,C,Univ. of New Hampshire,Unknown,34,3,6,9,12,-5,7,0,24,58.088235294117645,59.694117647058825,58.891176470588235,0.7946964477219084
Patriks Zabusovs,Latvia,RW/LW,Zemgale,LATVIA1,23,19,23,42,14,0,9,0,24,84.1304347826087,61.296956521739126,72.71369565217391,0.9086134745112558
Oskars Lapinskis,Latvia,F,SCL Tigers,NLA,51,4,4,8,10,-9,13,0,24,58.16235294117647,62.59254901960784,59.71292156862745,0.8776943630232988
Sandis Vilmanis,Latvia,LW/RW,Charlotte Checkers,AHL,48,17,21,38,26,17,2,4,22,71.19666666666666,65.81541666666666,68.50604166666666,0.8977400546746874
Olivers Murnieks,Latvia,C,Saint John Sea Dogs,Unknown,31,7,13,20,14,-23,14,0,17,62.54838709677419,55.94032258064516,59.244354838709675,0.816027428669346
