name,team,position,club,league,games,goals,assists,points,pim,plus_minus,swiss_games,olympic_qualifier_games,age
Sven Andrighetto,Switzerland,W/C,ZSC Lions,NLA,41,17,24,41,24,12,9,5,33
Nicolas Baechler,Switzerland,F,ZSC Lions,NLA,52,6,9,15,14,6,9,0,22
Denis Malgin,Switzerland,C/W,ZSC Lions,NLA,41,14,27,41,26,19,8,2,29
Christoph Bertschy,Switzerland,C/RW,"HC Fribourg-Gotteron ""A""",NLA,52,14,22,36,26,10,10,5,32
Attilio Biasca,Switzerland,C/LW,HC Fribourg-Gotteron,NLA,45,15,12,27,6,20,8,0,23
Nico Hischier,Switzerland,C/LW,"New Jersey Devils ""C""",NHL,82,28,38,66,29,-6,7,5,27
Timo Meier,Switzerland,RW/LW,New Jersey Devils,NHL,77,24,20,44,22,-16,7,5,29
Ken Jager,Switzerland,C/RW,Lausanne HC,NLA,40,5,4,9,39,-4,13,5,27
Damien Riat,Switzerland,W/C,"Lausanne HC ""C""",NLA,52,14,21,35,24,9,13,5,29
Theo Rochette,Switzerland,C,Lausanne HC,NLA,46,22,21,43,14,12,9,0,24
Simon Knak,Switzerland,RW/LW,HC Davos,NLA,47,7,10,17,37,11,8,3,24
Nino Niederreiter,Switzerland,RW/LW,Winnipeg Jets,NHL,61,8,11,19,18,-7,7,5,33
Pius Suter,Switzerland,C/W,St. Louis Blues,NHL,64,13,16,29,20,13,9,5,29
Calvin Thurkauf,Switzerland,C/LW,"HC Lugano ""C""",NLA,49,15,19,34,34,4,14,5,28
