name,team,position,club,league,games,goals,assists,points,pim,plus_minus,swiss_games,olympic_qualifier_games,age,offense_rating,defense_rating,rating,roster_probability
Sven Andrighetto,Switzerland,W/C,ZSC Lions,NLA,41,17,24,41,24,12,9,5,33,74.87317073170732,65.27121951219512,70.07219512195121,0.9377504000831026
Nicolas Baechler,Switzerland,F,ZSC Lions,NLA,52,6,9,15,14,6,9,0,22,60.71846153846154,64.31807692307693,61.97832692307692,0.8835719885899601
Denis Malgin,Switzerland,C/W,ZSC Lions,NLA,41,14,27,41,26,19,8,2,29,74.62731707317074,66.27853658536586,70.4529268292683,0.9291151274496594
Christoph Bertschy,Switzerland,C/RW,"HC Fribourg-Gotteron ""A""",NLA,52,14,22,36,26,10,10,5,32,68.69846153846153,64.69884615384616,66.69865384615385,0.9302099738173581
Attilio Biasca,Switzerland,C/LW,HC Fribourg-Gotteron,NLA,45,15,12,27,6,20,8,0,23,67.208,66.34,66.774,0.9032998845509213
Nico Hischier,Switzerland,C/LW,"New Jersey Devils ""C""",NHL,82,28,38,66,29,-6,7,5,27,74.07317073170732,64.43719512195122,69.25518292682926,0.9372217345684781
Timo Meier,Switzerland,RW/LW,New Jersey Devils,NHL,77,24,20,44,22,-16,7,5,29,68.8181818181818,63.653246753246755,66.23571428571428,0.9242919057617999
Ken Jager,Switzerland,C/RW,Lausanne HC,NLA,40,5,4,9,39,-4,13,5,27,59.578,62.778749999999995,61.178375,0.9126717675638029
Damien Riat,Switzerland,W/C,"Lausanne HC ""C""",NLA,52,14,21,35,24,9,13,5,29,68.34307692307692,64.59692307692309,66.47,0.9336526095052531
Theo Rochette,Switzerland,C,Lausanne HC,NLA,46,22,21,43,14,12,9,0,24,73.88173913043478,65.17869565217391,69.53021739130435,0.9227144665837708
Simon Knak,Switzerland,RW/LW,HC Davos,NLA,47,7,10,17,37,11,8,3,24,62.184680851063824,64.84872340425532,63.51670212765957,0.9058515055681016
Nino Niederreiter,Switzerland,RW/LW,Winnipeg Jets,NHL,61,8,11,19,18,-7,7,5,33,62.377049180327866,64.20819672131147,63.29262295081966,0.9053004283808954
Pius Suter,Switzerland,C/W,St. Louis Blues,NHL,64,13,16,29,20,13,9,5,29,65.78125,66.109375,65.9453125,0.9336847364609917
Calvin Thurkauf,Switzerland,C/LW,"HC Lugano ""C""",NLA,49,15,19,34,34,4,14,5,28,68.85142857142857,63.96693877551021,66.40918367346939,0.9334262139580405
